Accession	Protein_name	Database
GP:BC026317_1	GP:BC026317_1	EMBL/PIR
GP:AB040119_1	GP:AB040119_1	EMBL/PIR
GP:AF220049_1	GP:AF220049_1	EMBL/PIR
GP:BC024032_1	GP:BC024032_1	EMBL/PIR
GP:BC034235_1	GP:BC034235_1	EMBL/PIR
GP:AK001704_1	GP:AK001704_1	EMBL/PIR
GP:BC014145_1	GP:BC014145_1	EMBL/PIR
GP:BC015693_1	GP:BC015693_1	EMBL/PIR
GP:AK000427_1	GP:AK000427_1	EMBL/PIR
GP:AF123303_1	GP:AF123303_1	EMBL/PIR
GP:BC000484_1	GP:BC000484_1	EMBL/PIR
GP:BC014942_1	GP:BC014942_1	EMBL/PIR
GP:AF154847_1	GP:AF154847_1	EMBL/PIR
GP:U83867_1	GP:U83867_1	EMBL/PIR
H4_HUMAN	H4_HUMAN	EMBL/PIR
PIR2:JC7586	PIR2:JC7586	EMBL/PIR
PIR2:T14797	PIR2:T14797	EMBL/PIR
PIR2:B53737	PIR2:B53737	EMBL/PIR
GP:AF398885_1	GP:AF398885_1	EMBL/PIR
GP:AF126021_1	GP:AF126021_1	EMBL/PIR
GP:BC010896_1	GP:BC010896_1	EMBL/PIR
GP:AY039756_1	GP:AY039756_1	EMBL/PIR
GP:AF380932_1	GP:AF380932_1	EMBL/PIR
GP:AF152227_1	GP:AF152227_1	EMBL/PIR
GP:AF061025_1	GP:AF061025_1	EMBL/PIR
GP:BC030833_1	GP:BC030833_1	EMBL/PIR
GP:BC001426_1	GP:BC001426_1	EMBL/PIR
GP:AF160212_1	GP:AF160212_1	EMBL/PIR
GP:AF361493_1	GP:AF361493_1	EMBL/PIR
GP:BC024240_1	GP:BC024240_1	EMBL/PIR
GP:AJ401189_1	GP:AJ401189_1	EMBL/PIR
GP:AF085361_1	GP:AF085361_1	EMBL/PIR
PIR2:I37405	PIR2:I37405	EMBL/PIR
GP:AB033097_1	GP:AB033097_1	EMBL/PIR
[PROTEIN GROUP 7: alpha_tubulin]	[PROTEIN GROUP 7: alpha_tubulin]	EMBL/PIR
[PROTEIN GROUP 9: protein_stomatin]	[PROTEIN GROUP 9: protein_stomatin]	EMBL/PIR
PIR1:A61231	PIR1:A61231	EMBL/PIR
[PROTEIN GROUP 15: beta_tubulin]	[PROTEIN GROUP 15: beta_tubulin]	EMBL/PIR
GP:BC008146_1	GP:BC008146_1	EMBL/PIR
GP:BC002412_1	GP:BC002412_1	EMBL/PIR
GP:BC006123_1	GP:BC006123_1	EMBL/PIR
GP:AF432213_1	GP:AF432213_1	EMBL/PIR
GP:AK027786_1	GP:AK027786_1	EMBL/PIR
GP:BC008196_1	GP:BC008196_1	EMBL/PIR
GP:AK022489_1	GP:AK022489_1	EMBL/PIR
GP:BC001069_1	GP:BC001069_1	EMBL/PIR
GP:AB018790_1	GP:AB018790_1	EMBL/PIR
GP:AL356785_1	GP:AL356785_1	EMBL/PIR
GP:AL136635_1	GP:AL136635_1	EMBL/PIR
GP:AF327351_1	GP:AF327351_1	EMBL/PIR
GP:AF078845_1	GP:AF078845_1	EMBL/PIR
PIR2:I61689	PIR2:I61689	EMBL/PIR
GP:BC007875_1	GP:BC007875_1	EMBL/PIR
GP:AB033076_1	GP:AB033076_1	EMBL/PIR
GP:BC002542_1	GP:BC002542_1	EMBL/PIR
GP:AF240634_1	GP:AF240634_1	EMBL/PIR
GP:D86964_1	GP:D86964_1	EMBL/PIR
GP:AF289583_1	GP:AF289583_1	EMBL/PIR
GP:AF176006_1	GP:AF176006_1	EMBL/PIR
GP:AF119121_1	GP:AF119121_1	EMBL/PIR
GP:AL136929_1	GP:AL136929_1	EMBL/PIR
GP:AB018270_1	GP:AB018270_1	EMBL/PIR
GP:M29548_1	GP:M29548_1	EMBL/PIR
GP:AF006751_1	GP:AF006751_1	EMBL/PIR
GP:AB020671_1	GP:AB020671_1	EMBL/PIR
GP:AL136665_1	GP:AL136665_1	EMBL/PIR
GP:BC002333_1	GP:BC002333_1	EMBL/PIR
GP:BC032808_1	GP:BC032808_1	EMBL/PIR
GP:BC006429_1	GP:BC006429_1	EMBL/PIR
GP:AF271780_1	GP:AF271780_1	EMBL/PIR
GP:BC007362_1	GP:BC007362_1	EMBL/PIR
GP:AK023106_1	GP:AK023106_1	EMBL/PIR
GP:AF161470_1	GP:AF161470_1	EMBL/PIR
GP:AF201937_1	GP:AF201937_1	EMBL/PIR
GP:AF053700_1	GP:AF053700_1	EMBL/PIR
GP:AL110115_2	GP:AL110115_2	EMBL/PIR
GP:AF053755_1	GP:AF053755_1	EMBL/PIR
GP:AF051851_1	GP:AF051851_1	EMBL/PIR
GP:AF248966_1	GP:AF248966_1	EMBL/PIR
GP:AK001718_1	GP:AK001718_1	EMBL/PIR
GP:BC033588_1	GP:BC033588_1	EMBL/PIR
GP:BC015128_1	GP:BC015128_1	EMBL/PIR
GP:AL049685_1	GP:AL049685_1	EMBL/PIR
GP:BC018519_1	GP:BC018519_1	EMBL/PIR
GP:AB062392_1	GP:AB062392_1	EMBL/PIR
GP:AB014566_1	GP:AB014566_1	EMBL/PIR
GP:AK027525_1	GP:AK027525_1	EMBL/PIR
GP:AJ344099_1	GP:AJ344099_1	EMBL/PIR
GP:AJ429498_1	GP:AJ429498_1	EMBL/PIR
GP:BC007957_1	GP:BC007957_1	EMBL/PIR
GP:BC030602_1	GP:BC030602_1	EMBL/PIR
GP:AF465728_1	GP:AF465728_1	EMBL/PIR
GP:BC012341_1	GP:BC012341_1	EMBL/PIR
GP:BC000018_1	GP:BC000018_1	EMBL/PIR
GP:BC005816_1	GP:BC005816_1	EMBL/PIR
GP:AF246665_1	GP:AF246665_1	EMBL/PIR
GP:AK001600_1	GP:AK001600_1	EMBL/PIR
GP:BC011963_1	GP:BC011963_1	EMBL/PIR
TRYP_BOVIN	TRYP_BOVIN	EMBL/PIR
GP:AK027386_1	GP:AK027386_1	EMBL/PIR
GP:AF238079_1	GP:AF238079_1	EMBL/PIR
GP:AF042166_1	GP:AF042166_1	EMBL/PIR
GP:AF237631_1	GP:AF237631_1	EMBL/PIR
GP:AF103801_1	GP:AF103801_1	EMBL/PIR
PIR2:S32763	PIR2:S32763	EMBL/PIR
GP:AF125531_1	GP:AF125531_1	EMBL/PIR
GP:BC016835_1	GP:BC016835_1	EMBL/PIR
GP:BC030270_1	GP:BC030270_1	EMBL/PIR
GP:BC016348_1	GP:BC016348_1	EMBL/PIR
GP:AK024488_1	GP:AK024488_1	EMBL/PIR
GP:AF132965_1	GP:AF132965_1	EMBL/PIR
GP:AJ306287_1	GP:AJ306287_1	EMBL/PIR
GP:AF113210_1	GP:AF113210_1	EMBL/PIR
GP:BC017168_1	GP:BC017168_1	EMBL/PIR
GP:AF201947_1	GP:AF201947_1	EMBL/PIR
GP:D63481_1	GP:D63481_1	EMBL/PIR
GP:BC007244_1	GP:BC007244_1	EMBL/PIR
GP:AB033767_1	GP:AB033767_1	EMBL/PIR
GP:AK097375_1	GP:AK097375_1	EMBL/PIR
GP:AK056041_1	GP:AK056041_1	EMBL/PIR
GP:BC003545_1	GP:BC003545_1	EMBL/PIR
GP:BC015109_1	GP:BC015109_1	EMBL/PIR
GP:AB057445_1	GP:AB057445_1	EMBL/PIR
GP:AF126020_1	GP:AF126020_1	EMBL/PIR
GP:BC034247_1	GP:BC034247_1	EMBL/PIR
GP:BC013311_1	GP:BC013311_1	EMBL/PIR
GP:AF151825_1	GP:AF151825_1	EMBL/PIR
GP:AK023204_1	GP:AK023204_1	EMBL/PIR
GP:AF231981_1	GP:AF231981_1	EMBL/PIR
GP:AF161525_1	GP:AF161525_1	EMBL/PIR
GP:BC005373_1	GP:BC005373_1	EMBL/PIR
GP:AF323609_1	GP:AF323609_1	EMBL/PIR
GP:AF047442_1	GP:AF047442_1	EMBL/PIR
GP:AF325707_1	GP:AF325707_1	EMBL/PIR
GP:BC000797_1	GP:BC000797_1	EMBL/PIR
GP:AK000634_1	GP:AK000634_1	EMBL/PIR
GP:AB020724_1	GP:AB020724_1	EMBL/PIR
GP:AB007917_1	GP:AB007917_1	EMBL/PIR
GP:AK000601_1	GP:AK000601_1	EMBL/PIR
GP:D42044_1	GP:D42044_1	EMBL/PIR
GP:BC011719_1	GP:BC011719_1	EMBL/PIR
GP:AK055908_1	GP:AK055908_1	EMBL/PIR
GP:AK024052_1	GP:AK024052_1	EMBL/PIR
GP:BC007704_1	GP:BC007704_1	EMBL/PIR
GP:M16247_1	GP:M16247_1	EMBL/PIR
GP:BC007735_1	GP:BC007735_1	EMBL/PIR
GP:AF151105_1	GP:AF151105_1	EMBL/PIR
GP:AK000500_1	GP:AK000500_1	EMBL/PIR
[PROTEIN GROUP 58: alpha_spectrin_chain]	[PROTEIN GROUP 58: alpha_spectrin_chain]	EMBL/PIR
GP:BC003586_1	GP:BC003586_1	EMBL/PIR
GP:L21936_1	GP:L21936_1	EMBL/PIR
PIR2:A54103	PIR2:A54103	EMBL/PIR
GP:Y17849_1	GP:Y17849_1	EMBL/PIR
GP:BC015880_1	GP:BC015880_1	EMBL/PIR
GP:BC002907_1	GP:BC002907_1	EMBL/PIR
GP:AB049635_1	GP:AB049635_1	EMBL/PIR
PIR2:JC7752	PIR2:JC7752	EMBL/PIR
GP:AF156548_1	GP:AF156548_1	EMBL/PIR
GP:BC033730_1	GP:BC033730_1	EMBL/PIR
GP:AK024687_1	GP:AK024687_1	EMBL/PIR
GP:AF311312_1	GP:AF311312_1	EMBL/PIR
GP:AK000452_1	GP:AK000452_1	EMBL/PIR
GP:BC007834_1	GP:BC007834_1	EMBL/PIR
GP:BC000217_1	GP:BC000217_1	EMBL/PIR
PIR2:T01357	PIR2:T01357	EMBL/PIR
GP:BC025793_1	GP:BC025793_1	EMBL/PIR
GP:BC022981_1	GP:BC022981_1	EMBL/PIR
GP:AB007900_1	GP:AB007900_1	EMBL/PIR
GP:AF243044_1	GP:AF243044_1	EMBL/PIR
GP:U18197_1	GP:U18197_1	EMBL/PIR
GP:BC014674_1	GP:BC014674_1	EMBL/PIR
GP:AK090601_1	GP:AK090601_1	EMBL/PIR
GP:BC030555_1	GP:BC030555_1	EMBL/PIR
GP:BC009011_1	GP:BC009011_1	EMBL/PIR
GP:BC013920_1	GP:BC013920_1	EMBL/PIR
GP:AK055851_1	GP:AK055851_1	EMBL/PIR
GP:BC014279_1	GP:BC014279_1	EMBL/PIR
GP:AK096294_1	GP:AK096294_1	EMBL/PIR
PIR2:JC5024	PIR2:JC5024	EMBL/PIR
GP:AF183413_1	GP:AF183413_1	EMBL/PIR
PIR2:T46362	PIR2:T46362	EMBL/PIR
GP:AK001355_1	GP:AK001355_1	EMBL/PIR
PIR2:JW0079	PIR2:JW0079	EMBL/PIR
GP:D30756_1	GP:D30756_1	EMBL/PIR
GP:AB051535_1	GP:AB051535_1	EMBL/PIR
GP:AF060924_1	GP:AF060924_1	EMBL/PIR
GP:L48722_1	GP:L48722_1	EMBL/PIR
GP:BC005000_1	GP:BC005000_1	EMBL/PIR
GP:AF343078_1	GP:AF343078_1	EMBL/PIR
GP:K01320_1	GP:K01320_1	EMBL/PIR
PIR2:A45695	PIR2:A45695	EMBL/PIR
GP:AL132776_1	GP:AL132776_1	EMBL/PIR
GP:AK097588_1	GP:AK097588_1	EMBL/PIR
GP:BC004940_1	GP:BC004940_1	EMBL/PIR
GP:BC006003_1	GP:BC006003_1	EMBL/PIR
GP:AL833891_1	GP:AL833891_1	EMBL/PIR
GP:BC006112_1	GP:BC006112_1	EMBL/PIR
GP:BC009493_1	GP:BC009493_1	EMBL/PIR
GP:AF201935_1	GP:AF201935_1	EMBL/PIR
GP:BC002551_1	GP:BC002551_1	EMBL/PIR
GP:AF161503_1	GP:AF161503_1	EMBL/PIR
GP:AK074135_1	GP:AK074135_1	EMBL/PIR
GP:AK094968_1	GP:AK094968_1	EMBL/PIR
GP:S77425_1	GP:S77425_1	EMBL/PIR
GP:BC020212_1	GP:BC020212_1	EMBL/PIR
GP:AL512766_1	GP:AL512766_1	EMBL/PIR
GP:AB075829_1	GP:AB075829_1	EMBL/PIR
GP:BC014403_1	GP:BC014403_1	EMBL/PIR
GP:BC004190_1	GP:BC004190_1	EMBL/PIR
GP:BC011993_1	GP:BC011993_1	EMBL/PIR
GP:BC032948_1	GP:BC032948_1	EMBL/PIR
GP:AL512733_1	GP:AL512733_1	EMBL/PIR
GP:AB052906_1	GP:AB052906_1	EMBL/PIR
GP:AK025709_1	GP:AK025709_1	EMBL/PIR
GP:AL590449_52	GP:AL590449_52	EMBL/PIR
GP:BC007803_1	GP:BC007803_1	EMBL/PIR
GP:AF316600_1	GP:AF316600_1	EMBL/PIR
GP:BC012456_1	GP:BC012456_1	EMBL/PIR
GP:AB028987_1	GP:AB028987_1	EMBL/PIR
GP:AF447505_1	GP:AF447505_1	EMBL/PIR
GP:AK098486_1	GP:AK098486_1	EMBL/PIR
GP:AF042384_1	GP:AF042384_1	EMBL/PIR
GP:AK021613_1	GP:AK021613_1	EMBL/PIR
PIR2:I54353	PIR2:I54353	EMBL/PIR
GP:AK000633_1	GP:AK000633_1	EMBL/PIR
GP:BC009731_1	GP:BC009731_1	EMBL/PIR
GP:AK025092_1	GP:AK025092_1	EMBL/PIR
GP:AK098777_1	GP:AK098777_1	EMBL/PIR
GP:AF125101_1	GP:AF125101_1	EMBL/PIR
PIR2:JC7165	PIR2:JC7165	EMBL/PIR
GP:BC000215_1	GP:BC000215_1	EMBL/PIR
GP:BC032643_1	GP:BC032643_1	EMBL/PIR
GP:AY032950_1	GP:AY032950_1	EMBL/PIR
GP:AK097661_1	GP:AK097661_1	EMBL/PIR
PIR2:T00034	PIR2:T00034	EMBL/PIR
PIR2:JC7599	PIR2:JC7599	EMBL/PIR
GP:U15136_1	GP:U15136_1	EMBL/PIR
GP:AK026774_1	GP:AK026774_1	EMBL/PIR
GP:AK090478_1	GP:AK090478_1	EMBL/PIR
GP:U39139_1	GP:U39139_1	EMBL/PIR
PRTP_HSV7J	PRTP_HSV7J	EMBL/PIR
GP:AF434813_1	GP:AF434813_1	EMBL/PIR
GP:AK024672_1	GP:AK024672_1	EMBL/PIR
GP:AF119045_1	GP:AF119045_1	EMBL/PIR
GP:AF332226_1	GP:AF332226_1	EMBL/PIR
GP:BC000587_1	GP:BC000587_1	EMBL/PIR
NUDM_HUMAN	NUDM_HUMAN	UniprotKB
LAM1_HUMAN	LAM1_HUMAN	UniprotKB
CAZ1_HUMAN	CAZ1_HUMAN	UniprotKB
IP3S_HUMAN	IP3S_HUMAN	UniprotKB
SUR4_HUMAN	SUR4_HUMAN	UniprotKB
CO1A_HUMAN	CO1A_HUMAN	UniprotKB
NUPM_HUMAN	NUPM_HUMAN	UniprotKB
NUMM_HUMAN	NUMM_HUMAN	UniprotKB
ATPF_HUMAN	ATPF_HUMAN	UniprotKB
VAA1_HUMAN	VAA1_HUMAN	UniprotKB
UCR1_HUMAN	UCR1_HUMAN	UniprotKB
NIDM_HUMAN	NIDM_HUMAN	UniprotKB
G3P2_HUMAN	G3P2_HUMAN	UniprotKB
SWS1_HUMAN	SWS1_HUMAN	UniprotKB
THPB_HUMAN	THPB_HUMAN	UniprotKB
CG51_HUMAN	CG51_HUMAN	UniprotKB
SPCO_HUMAN	SPCO_HUMAN	UniprotKB
Y084_HUMAN	Y084_HUMAN	UniprotKB
COXG_HUMAN	COXG_HUMAN	UniprotKB
NUCM_HUMAN	NUCM_HUMAN	UniprotKB
CO1C_HUMAN	CO1C_HUMAN	UniprotKB
MY1A_HUMAN	MY1A_HUMAN	UniprotKB
KPY2_HUMAN	KPY2_HUMAN	UniprotKB
SN23_HUMAN	SN23_HUMAN	UniprotKB
COXH_HUMAN	COXH_HUMAN	UniprotKB
TM21_HUMAN	TM21_HUMAN	UniprotKB
NUEM_HUMAN	NUEM_HUMAN	UniprotKB
NIPM_HUMAN	NIPM_HUMAN	UniprotKB
POR1_HUMAN	POR1_HUMAN	UniprotKB
SOA1_HUMAN	SOA1_HUMAN	UniprotKB
GB13_HUMAN	GB13_HUMAN	UniprotKB
NB8M_HUMAN	NB8M_HUMAN	UniprotKB
COX4_HUMAN	COX4_HUMAN	UniprotKB
OM70_HUMAN	OM70_HUMAN	UniprotKB
CAPB_HUMAN	CAPB_HUMAN	UniprotKB
AR1B_HUMAN	AR1B_HUMAN	UniprotKB
RIB1_HUMAN	RIB1_HUMAN	UniprotKB
RAPB_HUMAN	RAPB_HUMAN	UniprotKB
ATPQ_HUMAN	ATPQ_HUMAN	UniprotKB
FKB8_HUMAN	FKB8_HUMAN	UniprotKB
MYHA_HUMAN	MYHA_HUMAN	UniprotKB
SFX1_HUMAN	SFX1_HUMAN	UniprotKB
GST3_HUMAN	GST3_HUMAN	UniprotKB
RAB7_HUMAN	RAB7_HUMAN	UniprotKB
FLT1_HUMAN	FLT1_HUMAN	UniprotKB
MLRM_HUMAN	MLRM_HUMAN	UniprotKB
FLT2_HUMAN	FLT2_HUMAN	UniprotKB
RIB2_HUMAN	RIB2_HUMAN	UniprotKB
UCR6_HUMAN	UCR6_HUMAN	UniprotKB
POR3_HUMAN	POR3_HUMAN	UniprotKB
GBQ_HUMAN	GBQ_HUMAN	UniprotKB
NI2M_HUMAN	NI2M_HUMAN	UniprotKB
ATA2_HUMAN	ATA2_HUMAN	UniprotKB
ABD3_HUMAN	ABD3_HUMAN	UniprotKB
GSN2_HUMAN	GSN2_HUMAN	UniprotKB
HS7C_HUMAN	HS7C_HUMAN	UniprotKB
AAC4_HUMAN	AAC4_HUMAN	UniprotKB
PAB1_HUMAN	PAB1_HUMAN	UniprotKB
MLES_HUMAN	MLES_HUMAN	UniprotKB
OM40_HUMAN	OM40_HUMAN	UniprotKB
VAB2_HUMAN	VAB2_HUMAN	UniprotKB
ATPR_HUMAN	ATPR_HUMAN	UniprotKB
NUGM_HUMAN	NUGM_HUMAN	UniprotKB
N4AM_HUMAN	N4AM_HUMAN	UniprotKB
GR75_HUMAN	GR75_HUMAN	UniprotKB
SPC1_HUMAN	SPC1_HUMAN	UniprotKB
NB6M_HUMAN	NB6M_HUMAN	UniprotKB
COXJ_HUMAN	COXJ_HUMAN	UniprotKB
T9S4_HUMAN	T9S4_HUMAN	UniprotKB
THPA_HUMAN	THPA_HUMAN	UniprotKB
COXB_HUMAN	COXB_HUMAN	UniprotKB
NB7M_HUMAN	NB7M_HUMAN	UniprotKB
IP3T_HUMAN	IP3T_HUMAN	UniprotKB
RAPA_HUMAN	RAPA_HUMAN	UniprotKB
CDM_HUMAN	CDM_HUMAN	UniprotKB
AR21_HUMAN	AR21_HUMAN	UniprotKB
EPLI_HUMAN	EPLI_HUMAN	UniprotKB
L130_HUMAN	L130_HUMAN	UniprotKB
ER53_HUMAN	ER53_HUMAN	UniprotKB
AR34_HUMAN	AR34_HUMAN	UniprotKB
KU70_HUMAN	KU70_HUMAN	UniprotKB
RB21_HUMAN	RB21_HUMAN	UniprotKB
NUFM_HUMAN	NUFM_HUMAN	UniprotKB
PRKD_HUMAN	PRKD_HUMAN	UniprotKB
AF32_HUMAN	AF32_HUMAN	UniprotKB
LAM2_HUMAN	LAM2_HUMAN	UniprotKB
RB1A_HUMAN	RB1A_HUMAN	UniprotKB
GBAS_HUMAN	GBAS_HUMAN	UniprotKB
UCRQ_HUMAN	UCRQ_HUMAN	UniprotKB
NUKM_HUMAN	NUKM_HUMAN	UniprotKB
AKA5_HUMAN	AKA5_HUMAN	UniprotKB
VATE_HUMAN	VATE_HUMAN	UniprotKB
HS9B_HUMAN	HS9B_HUMAN	UniprotKB
ATC1_HUMAN	ATC1_HUMAN	UniprotKB
MA32_HUMAN	MA32_HUMAN	UniprotKB
IM23_HUMAN	IM23_HUMAN	UniprotKB
ATY2_HUMAN	ATY2_HUMAN	UniprotKB
N7BM_HUMAN	N7BM_HUMAN	UniprotKB
T9S2_HUMAN	T9S2_HUMAN	UniprotKB
LDHM_HUMAN	LDHM_HUMAN	UniprotKB
NUHM_HUMAN	NUHM_HUMAN	UniprotKB
RAP3_HUMAN	RAP3_HUMAN	UniprotKB
GS28_HUMAN	GS28_HUMAN	UniprotKB
YA09_HUMAN	YA09_HUMAN	UniprotKB
AKA1_HUMAN	AKA1_HUMAN	UniprotKB
IP3R_HUMAN	IP3R_HUMAN	UniprotKB
Y103_HUMAN	Y103_HUMAN	UniprotKB
I17B_HUMAN	I17B_HUMAN	UniprotKB
RSG2_HUMAN	RSG2_HUMAN	UniprotKB
RRA2_HUMAN	RRA2_HUMAN	UniprotKB
VAM2_HUMAN	VAM2_HUMAN	UniprotKB
R10A_HUMAN	R10A_HUMAN	UniprotKB
MY5A_HUMAN	MY5A_HUMAN	UniprotKB
RSG3_HUMAN	RSG3_HUMAN	UniprotKB
E4L2_HUMAN	E4L2_HUMAN	UniprotKB
VA0D_HUMAN	VA0D_HUMAN	UniprotKB
NB5M_HUMAN	NB5M_HUMAN	UniprotKB
RS4_HUMAN	RS4_HUMAN	UniprotKB
NUIM_HUMAN	NUIM_HUMAN	UniprotKB
IM9A_HUMAN	IM9A_HUMAN	UniprotKB
VAG1_HUMAN	VAG1_HUMAN	UniprotKB
ATPJ_HUMAN	ATPJ_HUMAN	UniprotKB
FAC1_HUMAN	FAC1_HUMAN	UniprotKB
GR78_HUMAN	GR78_HUMAN	UniprotKB
RB35_HUMAN	RB35_HUMAN	UniprotKB
MPV1_HUMAN	MPV1_HUMAN	UniprotKB
A1A1_HUMAN	A1A1_HUMAN	UniprotKB
STM1_HUMAN	STM1_HUMAN	UniprotKB
XIP_HUMAN	XIP_HUMAN	UniprotKB
COXZ_HUMAN	COXZ_HUMAN	UniprotKB
N4BM_HUMAN	N4BM_HUMAN	UniprotKB
A2B1_HUMAN	A2B1_HUMAN	UniprotKB
CG65_HUMAN	CG65_HUMAN	UniprotKB
GB15_HUMAN	GB15_HUMAN	UniprotKB
UCRX_HUMAN	UCRX_HUMAN	UniprotKB
NUML_HUMAN	NUML_HUMAN	UniprotKB
SFX3_HUMAN	SFX3_HUMAN	UniprotKB
RAB8_HUMAN	RAB8_HUMAN	UniprotKB
YCE7_HUMAN	YCE7_HUMAN	UniprotKB
OM20_HUMAN	OM20_HUMAN	UniprotKB
BAN7_HUMAN	BAN7_HUMAN	UniprotKB
AKA2_HUMAN	AKA2_HUMAN	UniprotKB
I17A_HUMAN	I17A_HUMAN	UniprotKB
VP36_HUMAN	VP36_HUMAN	UniprotKB
CYM5_HUMAN	CYM5_HUMAN	UniprotKB
NI8M_HUMAN	NI8M_HUMAN	UniprotKB
YB1_HUMAN	YB1_HUMAN	UniprotKB
H2AC_HUMAN	H2AC_HUMAN	UniprotKB
OXA1_HUMAN	OXA1_HUMAN	UniprotKB
IM10_HUMAN	IM10_HUMAN	UniprotKB
Y152_HUMAN	Y152_HUMAN	UniprotKB
KC12_HUMAN	KC12_HUMAN	UniprotKB
ABP2_HUMAN	ABP2_HUMAN	UniprotKB
AR20_HUMAN	AR20_HUMAN	UniprotKB
TRSR_HUMAN	TRSR_HUMAN	UniprotKB
NB4M_HUMAN	NB4M_HUMAN	UniprotKB
HS9A_HUMAN	HS9A_HUMAN	UniprotKB
SRD6_HUMAN	SRD6_HUMAN	UniprotKB
RL2A_HUMAN	RL2A_HUMAN	UniprotKB
ICA3_HUMAN	ICA3_HUMAN	UniprotKB
S611_HUMAN	S611_HUMAN	UniprotKB
SPC4_HUMAN	SPC4_HUMAN	UniprotKB
RB14_HUMAN	RB14_HUMAN	UniprotKB
CYPH_HUMAN	CYPH_HUMAN	UniprotKB
MLEY_HUMAN	MLEY_HUMAN	UniprotKB
ACF7_HUMAN	ACF7_HUMAN	UniprotKB
RL1X_HUMAN	RL1X_HUMAN	UniprotKB
R11B_HUMAN	R11B_HUMAN	UniprotKB
PEXE_HUMAN	PEXE_HUMAN	UniprotKB
ROD_HUMAN	ROD_HUMAN	UniprotKB
DBPA_HUMAN	DBPA_HUMAN	UniprotKB
ALFA_HUMAN	ALFA_HUMAN	UniprotKB
H2BC_HUMAN	H2BC_HUMAN	UniprotKB
MAPR_HUMAN	MAPR_HUMAN	UniprotKB
143E_HUMAN	143E_HUMAN	UniprotKB
ITMA_HUMAN	ITMA_HUMAN	UniprotKB
DB83_HUMAN	DB83_HUMAN	UniprotKB
RB8B_HUMAN	RB8B_HUMAN	UniprotKB
ANX2_HUMAN	ANX2_HUMAN	UniprotKB
DNC_HUMAN	DNC_HUMAN	UniprotKB
CRTC_HUMAN	CRTC_HUMAN	UniprotKB
NIAM_HUMAN	NIAM_HUMAN	UniprotKB
MYDM_HUMAN	MYDM_HUMAN	UniprotKB
NI9M_HUMAN	NI9M_HUMAN	UniprotKB
NKCR_HUMAN	NKCR_HUMAN	UniprotKB
SR09_HUMAN	SR09_HUMAN	UniprotKB
NISM_HUMAN	NISM_HUMAN	UniprotKB
G25P_HUMAN	G25P_HUMAN	UniprotKB
KU86_HUMAN	KU86_HUMAN	UniprotKB
ORP3_HUMAN	ORP3_HUMAN	UniprotKB
C141_HUMAN	C141_HUMAN	UniprotKB
SP12_HUMAN	SP12_HUMAN	UniprotKB
DHC7_HUMAN	DHC7_HUMAN	UniprotKB
RB18_HUMAN	RB18_HUMAN	UniprotKB
GAMD_HUMAN	GAMD_HUMAN	UniprotKB
KC13_HUMAN	KC13_HUMAN	UniprotKB
PDX2_HUMAN	PDX2_HUMAN	UniprotKB
PLE1_HUMAN	PLE1_HUMAN	UniprotKB
NIF3_HUMAN	NIF3_HUMAN	UniprotKB
C910_HUMAN	C910_HUMAN	UniprotKB
AR16_HUMAN	AR16_HUMAN	UniprotKB
NR54_HUMAN	NR54_HUMAN	UniprotKB
GNT2_HUMAN	GNT2_HUMAN	UniprotKB
COXO_HUMAN	COXO_HUMAN	UniprotKB
NOC4_HUMAN	NOC4_HUMAN	UniprotKB
NC5R_HUMAN	NC5R_HUMAN	UniprotKB
VAM5_HUMAN	VAM5_HUMAN	UniprotKB
ER22_HUMAN	ER22_HUMAN	UniprotKB
SC63_HUMAN	SC63_HUMAN	UniprotKB
TF1B_HUMAN	TF1B_HUMAN	UniprotKB
H163_HUMAN	H163_HUMAN	UniprotKB
VATC_HUMAN	VATC_HUMAN	UniprotKB
ATND_HUMAN	ATND_HUMAN	UniprotKB
RFP_HUMAN	RFP_HUMAN	UniprotKB
A1A3_HUMAN	A1A3_HUMAN	UniprotKB
SP22_HUMAN	SP22_HUMAN	UniprotKB
AR61_HUMAN	AR61_HUMAN	UniprotKB
NIGM_HUMAN	NIGM_HUMAN	UniprotKB
RB10_HUMAN	RB10_HUMAN	UniprotKB
STT3_HUMAN	STT3_HUMAN	UniprotKB
IM22_HUMAN	IM22_HUMAN	UniprotKB
IM9B_HUMAN	IM9B_HUMAN	UniprotKB
S3A1_HUMAN	S3A1_HUMAN	UniprotKB
ROK_HUMAN	ROK_HUMAN	UniprotKB
OM07_HUMAN	OM07_HUMAN	UniprotKB
KIP1_HUMAN	KIP1_HUMAN	UniprotKB
STXG_HUMAN	STXG_HUMAN	UniprotKB
LATB_HUMAN	LATB_HUMAN	UniprotKB
GBGA_HUMAN	GBGA_HUMAN	UniprotKB
143T_HUMAN	143T_HUMAN	UniprotKB
RMS1_HUMAN	RMS1_HUMAN	UniprotKB
AB10_HUMAN	AB10_HUMAN	UniprotKB
CDA4_HUMAN	CDA4_HUMAN	UniprotKB
PSS1_HUMAN	PSS1_HUMAN	UniprotKB
NUYM_HUMAN	NUYM_HUMAN	UniprotKB
K1CJ_HUMAN	K1CJ_HUMAN	UniprotKB
ER19_HUMAN	ER19_HUMAN	UniprotKB
MFT_HUMAN	MFT_HUMAN	UniprotKB
1083041	Keratin 6	NCBInr
7513694	IgG Fc binding protein	NCBInr
77686	Regulatory protein Trpl	NCBInr
